SeriesDescription,GeoAreaName,TimePeriod,Value,Source,[Age],[Sex]
"Employed population below international poverty line, by sex and age (%)",World,2002,22,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2002,22.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2003,21.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2003,22.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2003,27.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2003,28.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2003,22.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2003,20.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2003,29.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2003,20.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2003,21.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2004,27.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2004,18.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2004,19,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2004,19.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2004,20.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2004,26.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2004,25.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2004,20.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2004,20.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2005,19,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2005,24.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2005,25.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2005,17.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2005,17.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2005,18.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2005,18.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2005,24.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2005,17.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2006,16.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2006,16.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2006,16.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2006,23.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2006,17.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2006,17.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2006,17.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2006,23,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2006,23.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2007,16.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2007,15.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2007,15.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2007,16.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2007,16.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2007,22,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2007,22.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2007,22.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2007,15.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2008,16.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2008,16.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2008,21.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2008,21.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2008,22.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2008,15,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2008,15,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2008,15.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2008,16.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2009,15.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2009,20.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2009,20.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2009,20.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2009,14,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2009,14,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2009,14.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2009,15.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2009,15.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2010,14.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2010,19.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2010,19.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2010,19.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2010,13.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2010,14.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2010,14.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2010,13.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2010,13.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2011,17.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2011,17.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2011,11.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2011,11.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2011,11.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2011,12.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2011,12.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2011,12.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2011,17.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2012,10.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2012,10.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2012,10.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2012,11,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2012,11.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2012,11.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2012,16,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2012,16.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2012,16.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2013,14.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2013,9.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2013,8.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2013,9.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2013,9.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2013,14.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2013,14.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2013,8.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2013,8.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2014,9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",World,2014,9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2014,9.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",World,2014,14,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",World,2014,14.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",World,2014,14.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
